id,pop,order,,
BOU_FY_C_01,_C,1,1,
BOU_FY_C_02,_C,2,2,
BOU_FY_C_03,_C,3,3,
MAL_FY_C_01,_C,4,4,
MAL_FY_C_02,_C,5,5,
MAL_FY_C_03,_C,6,6,
MOB_FY_C_01,_C,7,7,
MOB_FY_C_02,_C,8,8,
MOB_FY_C_03,_C,9,9,
PAS_FY_X_01,_X,34,10,
PAS_FY_X_02,_X,35,11,
PAS_FY_X_03,_X,36,12,
RFY_FY_C_01,_C,91,13,
RFY_FY_C_02,_C,92,14,
RFY_FY_C_03,_C,93,15,
RGG_FY_C_01,_C,10,16,
RGG_FY_C_02,_C,11,17,
RGG_FY_C_03,_C,12,18,
SNM_FY_C_01,_C,13,19,
SNM_FY_C_02,_C,14,20,
SNM_FY_C_03,_C,15,21,
TES_FY_C_01,_C,16,22,
TES_FY_C_02,_C,17,23,
TES_FY_C_03,_C,18,24,
GUN_FY_F_01,_F,19,25,
GUN_FY_F_02,_F,20,26,
GUN_FY_F_03,_F,21,27,
MTB_FY_F_01,_F,22,28,
MTB_FY_F_02,_F,23,29,
MTB_FY_F_03,_F,24,30,
SLV_FY_F_01,_F,25,31,
SLV_FY_F_02,_F,26,32,
SLV_FY_F_03,_F,27,33,
TRE_FY_F_01,_F,28,34,
TRE_FY_F_02,_F,29,35,
TRE_FY_F_03,_F,30,36,
TRQ_FY_F_01,_F,31,37,
TRQ_FY_F_02,_F,32,38,
TRQ_FY_F_03,_F,33,39,
MOB_FY_G_01,_G,94,40,
MOB_FY_G_02,_G,95,41,
MOB_FY_G_03,_G,96,42,
RFY_FY_HC_01,_H,88,43,
RFY_FY_HC_02,_H,89,44,
RFY_FY_HC_03,_H,90,45,
RFY_FY_HS_01,_H,85,46,
RFY_FY_HS_02,_H,86,47,
RFY_FY_HS_03,_H,87,48,
MAL_FY_M_01,_M,37,49,
MAL_FY_M_02,_M,38,50,
MAL_FY_M_03,_M,39,51,
SLV_FY_M_01,_M,40,52,
SLV_FY_M_02,_M,41,53,
SLV_FY_M_03,_M,42,54,
SNM_FY_M_01,_M,43,55,
SNM_FY_M_02,_M,44,56,
SNM_FY_M_03,_M,45,57,
TES_FY_M_01,_M,46,58,
TES_FY_M_02,_M,47,59,
TES_FY_M_03,_M,48,60,
DRY_FY_N_01,_N,49,61,
DRY_FY_N_02,_N,50,62,
DRY_FY_N_03,_N,51,63,
MAL_FY_N_01,_N,52,64,
MAL_FY_N_02,_N,53,65,
MAL_FY_N_03,_N,54,66,
TES_FY_N_01,_N,55,67,
TES_FY_N_02,_N,56,68,
TES_FY_N_03,_N,57,69,
SLV_FY_O_01,_O,58,70,
SLV_FY_O_02,_O,59,71,
SLV_FY_O_03,_O,60,72,
ABQ_FY_S_01,_S,61,73,
ABQ_FY_S_02,_S,62,74,
ABQ_FY_S_03,_S,63,75,
BOU_FY_S_01,_S,64,76,
BOU_FY_S_02,_S,65,77,
BOU_FY_S_03,_S,66,78,
LOG_FY_S_01,_S,76,79,
LOG_FY_S_02,_S,77,80,
LOG_FY_S_03,_S,78,81,
MOB_FY_S_01,_S,79,82,
MOB_FY_S_02,_S,80,83,
MOB_FY_S_03,_S,81,84,
RFY_FY_S_01,_S,82,85,
RFY_FY_S_02,_S,83,86,
RFY_FY_S_03,_S,84,87,
RGG_FY_S_01,_S,67,88,
RGG_FY_S_02,_S,68,89,
RGG_FY_S_03,_S,69,90,
SNM_FY_S_01,_S,70,91,
SNM_FY_S_02,_S,71,92,
SNM_FY_S_03,_S,72,93,
TES_FY_S_01,_S,73,94,
TES_FY_S_02,_S,74,95,
TES_FY_S_03,_S,75,96,