id,pop,order
ABQ_FY_S_01,ABQ_FY_S,70
ABQ_FY_S_02,ABQ_FY_S,71
ABQ_FY_S_03,ABQ_FY_S,72
BOU_FY_C_01,BOU_FY_C,1
BOU_FY_C_02,BOU_FY_C,2
BOU_FY_C_03,BOU_FY_C,3
BOU_FY_S_01,BOU_FY_S,73
BOU_FY_S_02,BOU_FY_S,74
BOU_FY_S_03,BOU_FY_S,75
DRY_FY_N_01,DRY_FY_N,58
DRY_FY_N_02,DRY_FY_N,59
DRY_FY_N_03,DRY_FY_N,60
GUN_FY_F_01,GUN_FY_F,22
GUN_FY_F_02,GUN_FY_F,23
GUN_FY_F_03,GUN_FY_F,24
LOG_FY_S_01,LOG_FY_S,76
LOG_FY_S_02,LOG_FY_S,77
LOG_FY_S_03,LOG_FY_S,78
MAL_FY_C_01,MAL_FY_C,4
MAL_FY_C_02,MAL_FY_C,5
MAL_FY_C_03,MAL_FY_C,6
MAL_FY_M_01,MAL_FY_M,46
MAL_FY_M_02,MAL_FY_M,47
MAL_FY_M_03,MAL_FY_M,48
MAL_FY_N_01,MAL_FY_N,61
MAL_FY_N_02,MAL_FY_N,62
MAL_FY_N_03,MAL_FY_N,63
MOB_FY_C_01,MOB_FY_C,7
MOB_FY_C_02,MOB_FY_C,8
MOB_FY_C_03,MOB_FY_C,9
MOB_FY_G_01,MOB_FY_G,37
MOB_FY_G_02,MOB_FY_G,38
MOB_FY_G_03,MOB_FY_G,39
MOB_FY_S_01,MOB_FY_S,79
MOB_FY_S_02,MOB_FY_S,80
MOB_FY_S_03,MOB_FY_S,81
MTB_FY_F_01,MTB_FY_F,25
MTB_FY_F_02,MTB_FY_F,26
MTB_FY_F_03,MTB_FY_F,27
PAS_FY_X_01,PAS_FY_X,94
PAS_FY_X_02,PAS_FY_X,95
PAS_FY_X_03,PAS_FY_X,96
RFY_FY_C_01,RFY_FY_C,10
RFY_FY_C_02,RFY_FY_C,11
RFY_FY_C_03,RFY_FY_C,12
RFY_FY_HC_01,RFY_FY_H,40
RFY_FY_HC_02,RFY_FY_H,41
RFY_FY_HC_03,RFY_FY_H,42
RFY_FY_HS_01,RFY_FY_H,43
RFY_FY_HS_02,RFY_FY_H,44
RFY_FY_HS_03,RFY_FY_H,45
RFY_FY_S_01,RFY_FY_S,82
RFY_FY_S_02,RFY_FY_S,83
RFY_FY_S_03,RFY_FY_S,84
RGG_FY_C_01,RGG_FY_C,13
RGG_FY_C_02,RGG_FY_C,14
RGG_FY_C_03,RGG_FY_C,15
RGG_FY_S_01,RGG_FY_S,85
RGG_FY_S_02,RGG_FY_S,86
RGG_FY_S_03,RGG_FY_S,87
SLV_FY_F_01,SLV_FY_F,28
SLV_FY_F_02,SLV_FY_F,29
SLV_FY_F_03,SLV_FY_F,30
SLV_FY_M_01,SLV_FY_M,49
SLV_FY_M_02,SLV_FY_M,50
SLV_FY_M_03,SLV_FY_M,51
SLV_FY_O_01,SLV_FY_O,67
SLV_FY_O_02,SLV_FY_O,68
SLV_FY_O_03,SLV_FY_O,69
SNM_FY_C_01,SNM_FY_C,16
SNM_FY_C_02,SNM_FY_C,17
SNM_FY_C_03,SNM_FY_C,18
SNM_FY_M_01,SNM_FY_M,52
SNM_FY_M_02,SNM_FY_M,53
SNM_FY_M_03,SNM_FY_M,54
SNM_FY_S_01,SNM_FY_S,88
SNM_FY_S_02,SNM_FY_S,89
SNM_FY_S_03,SNM_FY_S,90
TES_FY_C_01,TES_FY_C,19
TES_FY_C_02,TES_FY_C,20
TES_FY_C_03,TES_FY_C,21
TES_FY_M_01,TES_FY_M,55
TES_FY_M_02,TES_FY_M,56
TES_FY_M_03,TES_FY_M,57
TES_FY_N_01,TES_FY_N,64
TES_FY_N_02,TES_FY_N,65
TES_FY_N_03,TES_FY_N,66
TES_FY_S_01,TES_FY_S,91
TES_FY_S_02,TES_FY_S,92
TES_FY_S_03,TES_FY_S,93
TRE_FY_F_01,TRE_FY_F,31
TRE_FY_F_02,TRE_FY_F,32
TRE_FY_F_03,TRE_FY_F,33
TRQ_FY_F_01,TRQ_FY_F,34
TRQ_FY_F_02,TRQ_FY_F,35
TRQ_FY_F_03,TRQ_FY_F,36