id,pop
ABQ_FY_S_01,ABQ-S
ABQ_FY_S_02,ABQ-S
ABQ_FY_S_03,ABQ-S
MAL_FY_C_01,MAL-C
MAL_FY_C_02,MAL-C
MAL_FY_C_03,MAL-C
MAL_FY_N_01,MAL-N
MAL_FY_N_02,MAL-N
MAL_FY_N_03,MAL-N
RGG_FY_C_01,RGG-C
RGG_FY_C_02,RGG-C
RGG_FY_C_03,RGG-C
RGG_FY_S_01,RGG-S
RGG_FY_S_02,RGG-S
RGG_FY_S_03,RGG-S
SLV_FY_O_01,Outgroup
SLV_FY_O_02,Outgroup
SLV_FY_O_03,Outgroup
SNM_FY_C_01,SNM-C
SNM_FY_C_02,SNM-C
SNM_FY_C_03,SNM-C
SNM_FY_S_01,SNM-S
SNM_FY_S_02,SNM-S
SNM_FY_S_03,SNM-S
TES_FY_C_01,TES-C
TES_FY_C_02,TES-C
TES_FY_C_03,TES-C
TES_FY_N_01,TES-N
TES_FY_N_02,TES-N
TES_FY_N_03,TES-N
TES_FY_S_01,TES-S
TES_FY_S_02,TES-S
TES_FY_S_03,TES-S
MAL_FY_M_01,MAL-M
MAL_FY_M_02,MAL-M
MAL_FY_M_03,MAL-M
SLV_FY_M_01,SLV-M
SLV_FY_M_02,SLV-M
SLV_FY_M_03,SLV-M
SNM_FY_M_01,SNM-M
SNM_FY_M_02,SNM-M
SNM_FY_M_03,SNM-M
TES_FY_M_01,TES-M
TES_FY_M_02,TES-M
TES_FY_M_03,TES-M